Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
11;30;9;94;5
11;30;9;93;5
11;30;9;92;5
11;30;9;91;5
11;30;9;90;5
11;30;9;89;5
11;30;9;88;5
11;30;9;87;5
11;30;9;86;5
11;30;9;85;5
11;30;9;84;5
11;30;9;83;5
11;30;9;82;5
11;30;9;81;5
11;30;9;80;5
11;30;9;79;5
11;30;9;78;5
11;30;9;77;5
11;30;9;76;5
11;30;9;75;5
11;30;9;74;5
11;30;9;73;5
11;30;9;72;5
11;30;9;71;5
11;30;9;70;5
11;30;9;69;5
11;30;9;68;5
11;30;9;67;5
11;30;9;66;5
11;30;9;65;5
11;30;9;64;5
11;30;9;63;5
11;30;9;62;5
11;30;9;61;5
11;30;9;60;5
11;30;9;59;5
11;30;9;58;5
11;30;9;57;5
11;30;9;56;5
11;30;9;55;5
11;30;9;54;5
11;30;9;53;5
11;30;9;52;5
11;30;9;51;5
11;30;9;50;5
11;30;9;49;5
11;30;9;48;5
11;30;9;47;5
11;30;9;46;5
11;30;9;45;5
11;30;9;44;5
11;30;9;43;5
11;30;9;42;5
11;30;9;41;5
11;30;9;40;5
11;30;9;39;5
11;30;9;38;5
11;30;9;37;5
11;30;9;36;5
11;30;9;35;5
11;30;9;34;5
11;30;9;33;5
11;30;9;32;5
11;30;9;31;5
11;30;9;22;5
11;30;9;23;5
11;30;9;24;5
11;30;9;26;5
11;30;9;25;5
11;30;9;27;5
11;30;9;28;5
12;30;9;29;5
12;30;9;30;5
13;29;10;2;5
13;29;10;1;5
12;29;10;3;5
11;30;10;4;5
13;29;10;5;5
13;30;10;6;5
13;29;10;7;5
12;29;10;8;5
12;29;10;9;5
12;29;10;10;5
13;29;10;11;5
12;29;10;12;5
12;29;10;13;5
13;29;10;14;5
12;29;10;15;5
12;29;10;16;5
12;29;10;17;5
12;29;10;18;5
13;29;10;19;5
12;29;10;20;5
12;29;10;100;5
12;29;10;99;5
12;29;10;98;5
12;29;10;97;5
12;29;10;96;5
12;29;10;95;5
12;29;10;94;5
12;29;10;93;5
12;29;10;92;5
12;29;10;91;5
12;29;10;90;5
12;29;10;89;5
12;29;10;88;5
12;29;10;87;5
12;29;10;86;5
12;29;10;85;5
12;29;10;84;5
12;29;10;83;5
12;29;10;82;5
12;29;10;81;5
12;29;10;80;5
12;29;10;79;5
12;29;10;78;5
12;29;10;77;5
12;29;10;76;5
12;29;10;75;5
12;29;10;74;5
12;29;10;73;5
12;29;10;72;5
12;29;10;71;5
12;29;10;70;5
12;29;10;69;5
12;29;10;68;5
12;29;10;67;5
12;29;10;66;5
12;29;10;65;5
12;29;10;64;5
12;29;10;63;5
12;29;10;62;5
12;29;10;61;5
12;29;10;60;5
12;29;10;59;5
12;29;10;58;5
12;29;10;57;5
12;29;10;56;5
12;29;10;55;5
12;29;10;54;5
12;29;10;53;5
12;29;10;52;5
12;29;10;51;5
12;29;10;50;5
12;29;10;49;5
12;29;10;48;5
12;29;10;47;5
12;29;10;46;5
12;29;10;45;5
12;29;10;44;5
12;29;10;43;5
12;29;10;42;5
12;29;10;41;5
12;29;10;40;5
12;29;10;39;5
12;29;10;38;5
12;29;10;37;5
12;29;10;36;5
12;29;10;35;5
12;29;10;34;5
12;29;10;33;5
12;29;10;32;5
12;29;10;31;5
12;29;10;21;5
12;29;10;22;5
12;29;10;23;5
12;29;10;24;5
12;29;10;25;5
12;30;10;26;5
12;29;10;27;5
12;29;10;28;5
12;29;10;29;5
12;29;10;30;5
14;30;11;1;5
13;30;11;2;5
14;29;11;3;5
14;30;11;4;5
14;29;11;5;5
14;30;11;6;5
14;30;11;7;5
14;30;11;8;5
14;29;11;9;5
13;29;11;10;5
14;30;11;11;5
14;30;11;12;5
13;30;11;13;5
14;30;11;14;5
14;30;11;15;5
14;29;11;16;5
14;30;11;17;5
14;29;11;18;5
14;29;11;19;5
14;29;11;100;5
14;29;11;99;5
14;29;11;98;5
14;29;11;97;5
14;29;11;96;5
14;29;11;95;5
14;29;11;94;5
14;29;11;93;5
14;29;11;92;5
14;29;11;91;5
14;29;11;90;5
14;29;11;89;5
14;29;11;88;5
14;29;11;87;5
14;29;11;86;5
14;29;11;85;5
14;29;11;84;5
14;29;11;83;5
14;29;11;82;5
14;29;11;81;5
14;29;11;80;5
14;29;11;79;5
14;29;11;78;5
14;29;11;77;5
14;29;11;76;5
14;29;11;75;5
14;29;11;74;5
14;29;11;73;5
14;29;11;72;5
14;29;11;71;5
14;29;11;70;5
14;29;11;69;5
14;29;11;68;5
14;29;11;67;5
14;29;11;66;5
14;29;11;65;5
14;29;11;64;5
14;29;11;63;5
14;29;11;62;5
14;29;11;61;5
14;29;11;60;5
14;29;11;59;5
14;29;11;58;5
14;29;11;57;5
14;29;11;56;5
14;29;11;55;5
14;29;11;54;5
14;29;11;53;5
14;29;11;52;5
14;29;11;51;5
14;29;11;50;5
14;29;11;49;5
14;29;11;48;5
14;29;11;47;5
14;29;11;46;5
14;29;11;45;5
14;29;11;44;5
14;29;11;43;5
14;29;11;42;5
14;29;11;41;5
14;29;11;40;5
14;29;11;39;5
14;29;11;38;5
14;29;11;37;5
14;29;11;36;5
14;29;11;35;5
14;29;11;34;5
14;29;11;33;5
14;29;11;32;5
14;29;11;31;5
14;30;11;20;5
14;29;11;21;5
13;29;11;22;5
13;29;11;23;5
14;29;11;24;5
13;29;11;25;5
13;29;11;26;5
14;29;11;27;5
13;29;11;28;5
13;29;11;29;5
14;29;11;30;5
14;27;12;2;6
15;28;12;1;6
17;28;12;3;6
16;28;12;4;6
15;27;12;5;6
15;28;12;6;6
14;27;12;7;6
15;27;12;8;6
14;28;12;9;6
17;28;12;10;6
15;27;12;11;6
15;27;12;12;6
15;29;12;13;6
16;29;12;14;6
15;28;12;15;6
15;28;12;16;6
16;28;12;17;6
15;28;12;18;6
15;28;12;100;6
15;28;12;99;6
15;28;12;98;6
15;28;12;97;6
15;28;12;96;6
15;28;12;95;6
15;28;12;94;6
15;28;12;93;6
15;28;12;92;6
15;28;12;91;6
15;28;12;90;6
15;28;12;89;6
15;28;12;88;6
15;28;12;87;6
15;28;12;86;6
15;28;12;85;6
15;28;12;84;6
15;28;12;83;6
15;28;12;82;6
15;28;12;81;6
15;28;12;80;6
15;28;12;79;6
15;28;12;78;6
15;28;12;77;6
15;28;12;76;6
15;28;12;75;6
15;28;12;74;6
15;28;12;73;6
15;28;12;72;6
15;28;12;71;6
15;28;12;70;6
15;28;12;69;6
15;28;12;68;6
15;28;12;67;6
15;28;12;66;6
15;28;12;65;6
15;28;12;64;6
15;28;12;63;6
15;28;12;62;6
15;28;12;61;6
15;28;12;60;6
15;28;12;59;6
15;28;12;58;6
15;28;12;57;6
15;28;12;56;6
15;28;12;55;6
15;28;12;54;6
15;28;12;53;6
15;28;12;52;6
15;28;12;51;6
15;28;12;50;6
15;28;12;49;6
15;28;12;48;6
15;28;12;47;6
15;28;12;46;6
15;28;12;45;6
15;28;12;44;6
15;28;12;43;6
15;28;12;42;6
15;28;12;41;6
15;28;12;40;6
15;28;12;39;6
15;28;12;38;6
15;28;12;37;6
15;28;12;36;6
15;28;12;35;6
15;28;12;34;6
15;28;12;33;6
15;28;12;32;6
15;28;12;31;6
16;27;12;19;6
15;27;12;20;6
16;28;12;21;6
15;28;12;22;6
15;28;12;23;6
17;28;12;24;6
15;27;12;25;6
15;28;12;26;6
15;27;12;27;6
15;28;12;28;6
15;27;12;29;6
15;27;12;30;6
17;28;13;2;7
17;28;13;1;7
17;28;13;3;7
17;28;13;4;7
16;28;13;6;7
17;28;13;5;7
17;28;13;7;7
17;28;13;8;7
17;28;13;9;7
17;28;13;10;7
17;28;13;11;7
17;28;13;12;7
17;28;13;13;7
17;28;13;14;7
17;28;13;15;7
17;28;13;16;7
18;28;13;17;7
18;28;13;100;7
18;28;13;99;7
18;28;13;98;7
18;28;13;97;7
