;Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
510;27.0;25.0;18;2;9
511;27.0;25.0;18;1;9
512;26.0;26.0;18;3;9
513;26.0;25.0;18;4;9
514;27.0;25.0;18;6;9
515;27.0;25.0;18;5;9
516;27.0;25.0;18;8;9
517;27.0;25.0;18;7;9
518;27.0;25.0;18;9;9
519;27.0;25.0;18;10;9
520;27.0;25.0;18;11;9
521;26.0;25.0;18;12;9
522;27.0;24.0;18;14;9
523;28.0;25.0;18;13;9
524;27.0;25.0;18;15;9
525;27.0;25.0;18;16;9
526;27.0;25.0;18;17;9
527;27.0;25.0;18;18;9
528;27.0;25.0;18;19;9
529;26.0;25.0;18;20;9
530;27.0;25.0;18;21;9
531;26.0;25.0;18;22;9
532;26.0;25.0;18;24;9
533;27.0;25.0;18;23;9
534;27.0;25.0;18;25;9
535;26.0;25.0;18;26;9
536;26.0;25.0;18;27;9
537;26.0;25.0;18;28;9
538;26.0;25.0;18;29;9
539;27.0;25.0;18;30;9
540;30.0;25.0;19;2;9
541;31.0;25.0;19;1;9
542;31.0;26.0;19;3;9
543;31.0;26.0;19;4;9
544;31.0;25.0;19;5;9
545;30.0;25.0;19;6;9
546;30.0;26.0;19;7;9
547;30.0;25.0;19;8;9
548;31.0;25.0;19;9;9
549;30.0;25.0;19;10;9
550;30.0;25.0;19;11;9
551;30.0;26.0;19;12;9
552;30.0;25.0;19;13;9
553;30.0;25.0;19;14;9
554;30.0;25.0;19;15;9
555;31.0;25.0;19;16;9
556;32.0;26.0;19;17;9
557;30.0;25.0;19;18;9
558;31.0;25.0;19;19;9
559;32.0;26.0;19;20;9
560;31.0;25.0;19;21;9
561;31.0;25.0;19;22;9
562;31.0;26.0;19;23;9
563;32.0;25.0;19;24;9
564;30.0;25.0;19;25;9
565;30.0;25.0;19;26;9
566;31.0;25.0;19;27;9
567;31.0;25.0;19;28;9
568;31.0;26.0;19;29;9
569;32.0;26.0;19;30;9
570;38.0;25.0;20;1;10
571;39.0;25.0;20;2;10
572;38.0;24.0;20;3;10
573;40.0;24.0;20;4;10
574;39.0;24.0;20;5;10
575;39.0;24.0;20;6;10
576;39.0;25.0;20;7;10
577;39.0;24.0;20;8;10
578;38.0;24.0;20;9;10
579;39.0;25.0;20;10;10
580;38.0;24.0;20;11;10
581;38.0;24.0;20;12;10
582;39.0;25.0;20;13;10
583;37.0;25.0;20;14;10
584;38.0;25.0;20;15;10
585;39.0;24.0;20;16;10
586;39.0;24.0;20;17;10
587;38.0;24.0;20;18;10
588;38.0;25.0;20;19;10
589;38.0;25.0;20;20;10
590;38.0;25.0;20;21;10
591;38.0;24.0;20;22;10
592;39.0;24.0;20;23;10
593;39.0;24.0;20;24;10
594;38.0;24.0;20;25;10
595;39.0;25.0;20;26;10
596;38.0;24.0;20;27;10
597;38.0;24.0;20;28;10
598;39.0;24.0;20;29;10
599;39.0;25.0;20;30;10
600;52.0;26.0;21;2;10
601;52.0;25.0;21;1;10
602;51.0;25.0;21;3;10
603;52.0;25.0;21;4;10
604;51.0;25.0;21;5;10
605;51.0;25.0;21;6;10
606;52.0;25.0;21;7;10
607;51.0;25.0;21;8;10
608;52.0;25.0;21;9;10
609;52.0;25.0;21;10;10
610;52.0;25.0;21;11;10
611;51.0;25.0;21;12;10
612;52.0;25.0;21;13;10
613;53.0;25.0;21;14;10
614;51.0;25.0;21;15;10
615;52.0;25.0;21;16;10
616;51.0;25.0;21;17;10
617;51.0;25.0;21;18;10
618;51.0;24.0;21;19;10
619;52.0;25.0;21;20;10
620;51.0;25.0;21;21;10
621;51.0;25.0;21;22;10
622;52.0;25.0;21;23;10
623;51.0;25.0;21;24;10
624;52.0;25.0;21;25;10
625;51.0;25.0;21;26;10
626;52.0;25.0;21;27;10
627;51.0;25.0;21;28;10
628;52.0;25.0;21;29;10
629;51.0;25.0;21;30;10
630;75.0;25.0;22;1;11
631;75.0;25.0;22;2;11
632;75.0;25.0;22;3;11
633;75.0;25.0;22;4;11
634;75.0;25.0;22;6;11
635;75.0;25.0;22;5;11
636;75.0;25.0;22;7;11
637;75.0;25.0;22;8;11
638;75.0;25.0;22;9;11
639;75.0;24.0;22;10;11
640;75.0;25.0;22;11;11
641;75.0;25.0;22;12;11
642;74.0;25.0;22;14;11
643;75.0;25.0;22;13;11
644;75.0;25.0;22;15;11
645;75.0;25.0;22;16;11
646;75.0;25.0;22;18;11
647;75.0;25.0;22;17;11
648;75.0;25.0;22;19;11
649;75.0;24.0;22;20;11
650;74.0;25.0;22;21;11
651;74.0;25.0;22;22;11
652;75.0;25.0;22;23;11
653;75.0;24.0;22;24;11
654;75.0;25.0;22;25;11
655;75.0;25.0;22;26;11
656;75.0;25.0;22;27;11
657;76.0;25.0;22;28;11
658;75.0;25.0;22;29;11
659;76.0;25.0;22;30;11
660;122.0;26.0;23;1;11
661;122.0;26.0;23;2;11
662;122.0;26.0;23;3;11
663;122.0;26.0;23;4;11
664;122.0;26.0;23;5;11
665;122.0;26.0;23;6;11
666;122.0;26.0;23;7;11
667;122.0;26.0;23;8;11
668;122.0;26.0;23;9;11
669;122.0;26.0;23;10;11
670;122.0;26.0;23;11;11
671;122.0;26.0;23;12;11
672;122.0;26.0;23;13;11
673;122.0;26.0;23;14;11
674;122.0;26.0;23;16;11
675;122.0;26.0;23;15;11
676;122.0;26.0;23;17;11
677;122.0;26.0;23;18;11
678;122.0;26.0;23;20;11
679;123.0;25.0;23;19;11
680;122.0;26.0;23;22;11
681;122.0;26.0;23;21;11
682;122.0;25.0;23;23;11
683;122.0;26.0;23;24;11
684;122.0;26.0;23;25;11
685;122.0;26.0;23;26;11
686;122.0;26.0;23;27;11
687;122.0;26.0;23;28;11
688;122.0;26.0;23;29;11
689;122.0;26.0;23;30;11
690;212.0;26.0;24;2;12
691;213.0;26.0;24;1;12
692;212.0;26.0;24;4;12
693;213.0;26.0;24;3;12
694;211.0;26.0;24;5;12
695;212.0;26.0;24;6;12
696;212.0;26.0;24;7;12
697;212.0;26.0;24;8;12
698;212.0;26.0;24;9;12
699;212.0;25.0;24;10;12
700;211.0;26.0;24;12;12
701;213.0;26.0;24;11;12
702;214.0;26.0;24;14;12
703;215.0;26.0;24;13;12
704;211.0;26.0;24;15;12
705;213.0;26.0;24;16;12
706;211.0;25.0;24;17;12
707;211.0;25.0;24;18;12
708;212.0;25.0;24;19;12
709;212.0;26.0;24;20;12
710;214.0;25.0;24;21;12
711;214.0;26.0;24;22;12
712;211.0;25.0;24;23;12
713;212.0;26.0;24;24;12
714;211.0;25.0;24;25;12
715;211.0;26.0;24;26;12
716;212.0;25.0;24;27;12
717;211.0;26.0;24;28;12
718;211.0;26.0;24;29;12
719;211.0;26.0;24;30;12
